"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Frontend Engineer (React)","PT Nomura Research Institute Indonesia","Jakarta Pusat, Jakarta Raya","Rp 12,000,000 – Rp 18,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Server Engineer","PT Nusantara Compnet Integrator","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Executive Assistant for Managing Director","PT. DVI SOLUSI TEKNOLOGI","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN","PT PELAYARAN PELANGI SINDUMULIA","Jakarta Barat, Jakarta Raya","Rp 5.000.000 – Rp 6.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Odoo Functional","Beleaf Farms","Jakarta Pusat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SECRETARY","PT Mazta Farma","Kalideres, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN MERCHANDISER","PT CARMEL SEJATI","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Compliance","PT Bumi Amartha Teknologi Mandiri","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Processional Receptionist","","Jakarta Selatan, Jakarta Raya","Rp 5,067,381 – Rp 6,000,000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"DevOps Engineer","PT Enseval Putera Megatrading Tbk","Jakarta Timur, Jakarta Raya","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin","PT SMART,Tbk","Kabupaten Bekasi, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administration Laboratorium","PT ISS INDONESIA (Bintaro)","Karawang, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Online","OB Fashion","Jakarta Utara, Jakarta Raya","Rp 9.000.000 – Rp 10.000.000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Property & General Affair","ESQ Group","Jakarta Selatan, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","PT. Sumberjaya KTC Indonesia","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"CLAIM STAFF","PT Eka Jaya Internasional","Tangerang, Banten","Rp 5,000,000 – Rp 6,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Senior Staff IT Data Based","PT. Asuransi Sinar Mas","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant For BOD","PT Bolesca Foodindo","Jakarta Utara, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"VISA and KITAS Document Specialist","","Jakarta Selatan, Jakarta Raya","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Manajemen Catatan & Kontrol DokumenManajemen Catatan & Kontrol Dokumenclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Customer Service Officer","Purwacaraka Music Studio (Bogor)","Bekasi, Jawa Barat","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Security Officer","PT KOLTIVA","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Android Developer","PT OS Selnajaya Indonesia","Jakarta Pusat, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin & Fitness Consultant","Gofitness","Depok, Jawa Barat","Rp 3,000,000 – Rp 4,000,000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Support Recruitment","PT. CIPTA ARTHA NADYA","Tangerang Selatan, Banten","Rp 4,500,000 – Rp 4,800,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administrasi - Jakarta","PT Exa Mitra Solusi","Jakarta Pusat, Jakarta Raya","","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Web Programmer","PT Murino Bersatu Indonesia","Jakarta Utara, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Receptionist - Developer (A-101378)","RGF HR Agent Indonesia","Jakarta Pusat, Jakarta Raya","Rp 6,000,000 – Rp 7,550,000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Korean Interpreter - Administration Department","PT Posco Indonesia Jakarta Processing Center","Karawang, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Sales","PT Somagede Indonesia","Cikarang","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","PT Abadi Perkasa Bersama Alkesindo","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Basis SAP Staff","Cimory Group","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Engineer For Network Security Solutions","PT ITPro Citra Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – JaringanTeknik – Jaringanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Leader Project Coordinator","PT HGT Services Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administration Freelance","PT Galva Galindra Multi Cipta","Jakarta Selatan, Jakarta Raya","Rp 3,600,000 – Rp 3,900,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Operation and Maintenance Engineers (British Speaker)","Hand International Pte. Ltd.","Jakarta Pusat, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Business Analyst Supervisor","PT Tunas Ridean","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Java Developer","PT Bank Multiarta Sentosa","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"API Developer","PT OS Selnajaya Indonesia","Jakarta Pusat, Jakarta Raya","Rp 11,000,000 – Rp 15,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Analyst","PT Linov Roket Prestasi","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Penerjemah Korea","PT. Graha Sehat Indonesia","Cengkareng, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer","PT Tigaraksa Satria, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN MARKETING","PT MULTI ARTHA GRAHA (Jakarta)","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Senior Product Manager","PT. Planet Selancar Mandiri (Planet Surf)","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Tenaga Administrasi Sekolah","Yayasan Pendidikan Putra, Sekolah Terpadu Putra 1","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Power BI QA & Production","PT Mandiri Utama Finance","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Programmer","SCG","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Administrasi","PT Hiba Utama","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Governance Supervisor","PT Autocomp Systems Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Software Engineer","PT Mitra Adiperkasa Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Marketing","PT Autoline Jaya Motor","Jakarta Barat, Jakarta Raya","Rp 5,000,000 – Rp 6,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Software Engineer","PT Multipolar Technology Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT SUPPORT","ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS (AYMP)","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administrasi Umum - Jakarta","PT Techno Carbide","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Delivery Manager","PT Linov Roket Prestasi","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Admin","PT. Archiglass Asa Mulia","Tangerang Selatan, Banten","Rp 3.500.000 – Rp 4.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Cloud Engineer","PT Integrasi Logistik Cipta Solusi","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Programmer","PT Dharmapena Citra Media","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Data Management (Data Base Administrator) Specialist","PT Bussan Auto Finance (BAF)","Jakarta Selatan, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Application Support Assistant Manager","PT Indofood Sukses Makmur Tbk (Divisi Bogasari)","Jakarta Utara, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Staff Planner (Warehouse & Yard)","PT Global Jet Cargo","Cakung, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administrative Supervisor","PT Citra Agung Busana","Jakarta Utara, Jakarta Raya","Rp 6,000,000 – Rp 9,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Quality Assurance Automation & Manual Testing","PT Main Games Indonesia (Jakarta)","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SOFTWARE QUALITY ASSURANCE","PT Indonesia Satu Tujuh","Jakarta Selatan, Jakarta Raya","Rp 7.000.000 – Rp 10.000.000 per month","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Data Architect Manager","Orang Tua Group","Jakarta Barat, Jakarta Raya","","subClassification: ArsitekArsitekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Executive Assistant","PT JSG International","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
